dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett2/15T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,6.8711362838419445,6.8711362838419445,1.8274128641101492,0.7995485804733304,0.1054764142781866,0.1612565111482382,4.286591230210508,2.621285235116916,0.1151248309947842,0.0802585671791616,0.0629495678524875,Energy,7
ett2/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,93368.15748127956,93368.15748127956,186.40104494300988,1.2634582804467096,0.3623678069801912,0.1378863662844232,12.584630184693824,305.5620354057087,0.1793902826513265,0.1094328884621785,0.0915446064748252,Energy,7
ett2/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,231.79045309202527,231.79045309202527,9.939946130254404,1.1329689147814277,0.1992891707911711,0.2232425459853819,7.486868191532945,15.22466594352813,0.2137582080715991,0.1395593887585177,0.1111605832084047,Energy,7
ett2/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,221.41480644470764,221.41480644470764,9.247606514560935,1.0178192706751064,0.1707717886700877,0.1690688310234303,7.186046674570568,14.880013657409984,0.2005177530123077,0.1246174446969223,0.1007460298159112,Energy,7
ett2/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,147.15016150052443,147.15016150052443,7.462766794491862,0.8450090702859379,0.1376815727190043,0.1213016342711803,5.620631426372411,12.130546628265538,0.1445692875973363,0.0889396753540205,0.0712511944758805,Energy,7
ett2/W/short,SLSQPEnsemble_5-models_opt-mae_1-windows,4370805.238480976,4370805.238480976,1397.1293684804489,0.9562376558038856,0.3788039340225759,0.2859143292712666,8.411105899753386,2090.6470860671284,0.1913529043836173,0.127876562352427,0.1054610639290816,Energy,7
hierarchical_sales/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,37.118146540215214,37.118146540215214,2.531905652404067,0.8102244664237702,0.5990574603837192,1.0360487740856277,8.207042490590899,6.0924663757968505,1.682952852597419,0.6994011254864964,0.5705860818404138,Sales,1
hierarchical_sales/W/short,SLSQPEnsemble_5-models_opt-mae_1-windows,449.9407043774417,449.9407043774417,8.90819826894639,0.7204509922909357,0.5457247886202012,0.454835154506807,7.215847400012497,21.21180577832641,0.973844378748897,0.408979739851199,0.3455085479181059,Sales,1
hospital/M/short,SLSQPEnsemble_5-models_opt-mae_1-windows,6453.804451606812,6453.804451606812,23.57921661661691,0.8583927526540233,0.2138371896788127,0.1943707106181267,6.040812864338493,80.33557401056405,0.2929022918201062,0.085969468338169,0.0692772812829941,Healthcare,1
jena_weather/10T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,1323.1778500373491,1323.1778500373491,8.449114910303365,0.6737664958733859,0.5049707981047777,0.6139482699652182,6.680075290297588,36.37551168076333,0.2218952785586517,0.051540682727696,0.0445576361439705,Nature,21
jena_weather/10T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,1498.8368093050742,1498.8368093050742,8.851599134034004,0.6800433643569749,0.540863429268526,0.6289704626328478,7.110639332936946,38.714813822425576,0.2367942278735933,0.054139678728767,0.0458762434985919,Nature,21
jena_weather/10T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,106.4514254869124,106.4514254869124,2.7231365018620792,0.1693021836980315,0.2243043037109129,0.5134310612274714,1.2881228607609492,10.317530009014389,0.0648033205189464,0.0171037338774717,0.0147730231025485,Nature,21
jena_weather/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,910.9405300813886,910.9405300813886,12.583846934840253,1.017745004789541,0.4940482066940532,0.3928108707397876,7.465139875782603,30.18179136634187,0.1723471319388278,0.0718575614565912,0.0559443386541039,Nature,21
jena_weather/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,2833.873944967143,2833.873944967143,14.989883199582806,0.9405068194435736,1.3279829959954947,0.6035081260537921,7.871996499977513,53.234142662084295,0.3039704258844637,0.0855932105276653,0.0680703715201435,Nature,21
jena_weather/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,2049.038352792848,2049.038352792848,12.499174547946645,0.8660566449320991,1.7027008491302569,0.6452456077813817,7.122197037499396,45.26630482812627,0.270048186384922,0.0745671516771184,0.0595569778503289,Nature,21
jena_weather/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,911.3733284179644,911.3733284179644,7.324820877333034,0.5924308256318245,0.8291897671733207,0.6123623804679764,4.778786741446813,30.188960373255064,0.1863426921293776,0.0452127805917066,0.0369952067548801,Nature,21
kdd_cup_2018/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,1773.2025034948258,1773.2025034948258,18.024050861075807,1.0844596574743322,0.6521524522865597,0.4789766104538273,7.751870365937759,42.10941110363366,1.112035037174085,0.4759832907659559,0.3769210134023939,Nature,1
kdd_cup_2018/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,1799.563027340343,1799.563027340343,14.104152266718094,0.6260405026654716,0.6980636480868542,0.4442682586889899,8.756172885930072,42.42125678643129,1.159925129606166,0.3856500699241627,0.3313871756513808,Nature,1
kdd_cup_2018/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,2465.3928289105856,2465.3928289105856,15.83408046593936,0.6771016771410567,0.726378289106996,0.4378785865112128,9.235416113597276,49.65272227089453,1.231983733835851,0.3928753285239328,0.3377337682217314,Nature,1
kdd_cup_2018/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,15887.665167150844,15887.665167150844,32.297412534401005,1.069441551668851,0.683143642318887,0.4614082503320598,13.371682823056917,126.04628184579998,1.8775866654441729,0.4811025776795769,0.4096710937401543,Nature,1
loop_seattle/5T/long,SLSQPEnsemble_5-models_opt-mae_1-windows,65.26918550570872,65.26918550570872,4.674585717644668,0.7297650681557099,0.1049339956420852,0.0957511602449021,5.488825524329102,8.078934676410542,0.1357464263314532,0.0785447996755246,0.0626668559332607,Transport,1
loop_seattle/5T/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,34.32342938707075,34.32342938707075,3.4095520152034857,0.5416402670489494,0.0846293129908002,0.066177112724771,4.258770138426208,5.85862009239981,0.0967295475832084,0.0562938744432146,0.0449765134125762,Transport,1
loop_seattle/5T/short,SLSQPEnsemble_5-models_opt-mae_1-windows,44.88735491111245,44.88735491111245,3.343640919586528,0.5222937019164609,0.096972245676576,0.0717298585748992,4.7618122160966365,6.699802602399003,0.1137478541918668,0.0567676396398458,0.0458605429922415,Transport,1
loop_seattle/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,13.25961284088467,13.25961284088467,2.357764667064353,0.7158172202801887,0.0438750512367062,0.0434285564440748,6.228142979055994,3.641375130480883,0.0649318545132429,0.0420429169894587,0.0341822228081,Transport,1
loop_seattle/H/long,SLSQPEnsemble_5-models_opt-mae_1-windows,50.89734840572229,50.89734840572229,3.576286027028283,0.7527078020488308,0.1038057331712059,0.0831047742307816,6.511535408763029,7.134237759264986,0.1272154804876792,0.0637712059286133,0.0511392091699082,Transport,1
loop_seattle/H/medium,SLSQPEnsemble_5-models_opt-mae_1-windows,53.50778670241009,53.50778670241009,3.7499950634272663,0.7827300324259769,0.1075013513559468,0.0871125152276475,6.5286124746821335,7.314901687815776,0.1308233411719949,0.0670667774514589,0.0537519472567998,Transport,1
loop_seattle/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,48.54810750239582,48.54810750239582,3.78474349475168,0.7534953753067025,0.077866350522625,0.0738588968102569,6.954717035882957,6.96764719990872,0.1147299858519975,0.0623199704502817,0.0511452575053484,Transport,1
m4_daily/D/short,SLSQPEnsemble_5-models_opt-mae_1-windows,353636.05573630915,353636.05573630915,171.8169574538986,3.2119977986820736,0.0364303659833755,0.0292700340774198,26.932548648888893,594.6730662610415,0.0918605533252938,0.0265409712964119,0.0213078265470732,Econ/Fin,1
m4_hourly/H/short,SLSQPEnsemble_5-models_opt-mae_1-windows,783410.8908882089,783410.8908882089,175.61581115200508,0.680293769412259,0.0874027327211764,0.0797020588806868,5.17521307221952,885.1050168698678,0.1208363874819221,0.0239754377162633,0.0192874728085491,Econ/Fin,1
