dataset,model,eval_metrics/MSE[mean],eval_metrics/MSE[0.5],eval_metrics/MAE[0.5],eval_metrics/MASE[0.5],eval_metrics/MAPE[0.5],eval_metrics/sMAPE[0.5],eval_metrics/MSIS,eval_metrics/RMSE[mean],eval_metrics/NRMSE[mean],eval_metrics/ND[0.5],eval_metrics/mean_weighted_sum_quantile_loss,domain,num_variates
ett1/15T/long,TSOrchestra-Toto2,8.142922538759283,8.142922538759283,1.513160392007776,0.981577196244747,0.769581446557222,0.3750467227506192,6.897453659882352,2.853580652226126,0.5438952937711361,0.2884098668428663,0.2225728747757153,Energy,7
ett1/15T/medium,TSOrchestra-Toto2,8.975290513933604,8.975290513933604,1.554165286870582,0.9807625055421424,0.7361369378039129,0.3792272983680517,6.261119150313664,2.995878921774644,0.5710174846434488,0.2962254403470047,0.2280206396898677,Energy,7
ett1/15T/short,TSOrchestra-Toto2,4.705009495476804,4.705009495476804,1.0532580756202243,0.6723875557409887,0.4760535501796393,0.2335869331131491,4.572608297095275,2.169103385151755,0.4100508290619266,0.1991096183246362,0.1542749008979376,Energy,7
ett1/D/short,TSOrchestra-Toto2,42366.74189331343,42366.74189331343,139.57168226988568,1.691797571583928,1.3268456609220625,0.4763953640172448,10.311527558005876,205.83182915504932,0.5406241267872633,0.3665896531218542,0.2771841806998178,Energy,7
ett1/H/long,TSOrchestra-Toto2,143.0491573777228,143.0491573777228,7.025107905869511,1.3814593951027097,3078557221333.8867,0.4741206721147298,17.008466530363265,11.960315939711744,0.5727536261069192,0.3364172022847184,0.2775206397893537,Energy,7
ett1/H/medium,TSOrchestra-Toto2,133.40937096350206,133.40937096350206,6.648290194231333,1.2477936644991787,2996877010057.6006,0.4301883815996813,8.735624776454976,11.55029744047754,0.553231867515364,0.318437340587362,0.2483399042439819,Energy,7
ett1/H/short,TSOrchestra-Toto2,97.54009965324944,97.54009965324944,4.839141174925006,0.7996578955422803,0.4734623045309351,0.2552708914118312,5.462204625160494,9.876239145203472,0.460964492527747,0.2258625194442346,0.1741282997893932,Energy,7
ett1/W/short,TSOrchestra-Toto2,1004736.373295502,1004736.373295502,808.003359987848,1.4483168898995145,0.6280987225449799,0.5125738137118672,8.392540318834794,1002.3653891149186,0.3988651125342763,0.3215238221605009,0.2414699430768873,Energy,7
ett2/15T/long,TSOrchestra-Toto2,11.25872842756903,11.25872842756903,2.109728219705268,0.8744702799974922,0.1319235817956302,0.1589544694492255,6.954847881659993,3.3554028711272554,0.178815492722041,0.1124312357131211,0.090820940077017,Energy,7
ett2/15T/medium,TSOrchestra-Toto2,11.021719496195496,11.021719496195496,2.075071349118814,0.8556064295781072,0.1281573582832468,0.1553941653262684,6.2808558462064825,3.319897512905405,0.1769233479130393,0.1105843083460837,0.0874371848694058,Energy,7
ett2/15T/short,TSOrchestra-Toto2,7.179961184258412,7.179961184258412,1.6429893998354816,0.7221118547939673,0.1055002058981906,0.124493492212405,5.363566594881953,2.679544958432012,0.1272075350501424,0.077998553824932,0.0626669373555674,Energy,7
ett2/D/short,TSOrchestra-Toto2,101776.21355492756,101776.21355492756,190.6203395113172,1.2742570914848184,0.428977279551922,0.132502144116557,12.658771503112211,319.02384480619554,0.1825857635428122,0.1090970496503402,0.09198037394433,Energy,7
ett2/H/long,TSOrchestra-Toto2,204.9234578987009,204.9234578987009,9.019769673624925,1.0192208484512,0.1780974986338749,0.1783260850514275,7.322742325024946,14.315147847601883,0.1960349320214289,0.1235188035528547,0.0997139962220192,Energy,7
ett2/H/medium,TSOrchestra-Toto2,213.9839896344187,213.9839896344187,9.250513347009248,1.0346564333490456,0.1756391397438494,0.1746143927942693,10.331719903085569,14.62819160506242,0.1971242889162223,0.1246566161334773,0.1029913065448278,Energy,7
ett2/H/short,TSOrchestra-Toto2,106.60751373643832,106.60751373643832,6.295217302455573,0.7241892977114455,0.1184554887200855,0.1085535471041465,5.155125016315714,10.325091463829184,0.1309508806070883,0.0798408665199185,0.0635803972075493,Energy,7
